,doc_length
1482,859
1483,2823
1484,1823
1485,2480
1486,3328
1487,3429
1488,3116
1489,703
1490,1058
1491,2926
1492,857
1493,3130
1494,622
1495,2563
1496,2480
1497,1600
1498,3023
1499,2216
1500,1375
1501,2750
1502,2581
1503,1987
1504,3798
1505,3546
1506,4808
1507,3337
1508,936
1509,3247
1510,719
1511,5202
1512,974
1513,1770
1514,3468
1515,1066
1516,1726
1517,1777
1518,3089
1519,2088
1520,3915
1521,1251
1522,594
1523,400
1524,873
1525,952
1526,3970
1527,2314
1528,2648
1529,3544
1530,782
1531,2105
1532,1753
1533,2528
1534,1932
1535,3312
1536,517
1537,2483
1538,3257
1539,2676
1540,4920
1541,3827
1542,1444
1543,1659
1544,1777
1545,1409
1546,3444
1547,674
1548,909
1549,3112
1550,3391
1551,909
1552,726
1553,3322
1554,2076
1555,1174
1556,5194
1557,3682
1558,541
1559,1720
1560,2006
1561,2528
1562,775
1563,911
1564,2681
1565,884
1566,2190
1567,1960
1568,653
1569,2986
1570,2845
1571,4666
1572,1289
1573,5886
1574,3665
1575,1938
1576,2748
1577,1948
1578,2015
1579,5565
1580,1753
1581,947
1582,3196
1583,1260
1584,2972
1585,3087
1586,2727
1587,4169
1588,968
1589,151
1590,3311
1591,1220
1592,667
1593,3840
1594,1514
1595,2857
1596,1148
1597,3023
1598,2640
1599,3876
1600,2635
1601,674
1602,2972
1603,1434
1604,2837
1605,2676
1606,2401
1607,158
1608,1019
1609,926
1610,4055
1611,5020
1612,936
1613,2753
1614,3196
1615,3144
1616,3651
1617,885
1618,3058
1619,3112
1620,2799
1621,1395
1622,2456
1623,2608
1624,435
1625,2184
1626,2127
1627,4342
1628,1456
1629,1277
1630,587
1631,2521
1632,2748
1633,3512
1634,541
1635,966
1636,785
1637,313
1638,1925
1639,3458
1640,1973
1641,4042
1642,852
1643,4774
1644,2154
1645,1900
1646,3970
1647,1588
1648,3148
1649,2495
1650,1508
1651,2368
1652,1324
1653,3194
1654,1459
1655,859
1656,4599
1657,2006
1658,1647
1659,2799
1660,869
1661,1550
1662,2505
1663,2781
1664,2966
1665,1161
1666,3546
1667,4292
1668,3636
1669,836
1670,863
1671,3241
1672,3130
1673,3656
1674,1142
1675,2184
1676,1699
1677,2280
1678,3748
1679,2359
1680,4369
1681,1738
1682,1078
1683,1227
1684,653
1685,2422
1686,5298
1687,1661
1688,3685
1689,2322
1690,435
1691,1910
1692,2739
1693,3635
1694,2584
1695,3192
1696,1794
1697,4962
1698,2993
1699,383
1700,1289
1701,5784
1702,692
1703,2340
1704,3200
1705,5886
1706,3494
1707,708
1708,2340
1709,2609
1710,1960
1711,1283
1712,1073
1713,2815
1714,1992
1715,548
1716,3222
1717,3301
1718,1358
1719,1550
1720,1654
1721,2844
1722,947
1723,2340
1724,2157
1725,859
1726,1342
1727,3876
1728,175
1729,3257
1730,2817
1731,3685
1732,1772
1733,2648
1734,2390
1735,1672
1736,4345
1737,3089
1738,5098
1739,1661
1740,1659
1741,1140
1742,4065
1743,1161
1744,2547
1745,1373
1746,1796
1747,909
1748,1101
1749,3217
1750,4014
1751,2648
1752,3222
1753,4292
1754,3915
1755,2799
1756,1458
1757,3951
1758,4013
1759,1514
1760,2521
1761,805
1762,3931
1763,1580
1764,8516
1765,4046
1766,4783
1767,2446
1768,1170
1769,2676
1770,1807
1771,3902
1772,2280
1773,151
1774,1550
1775,4292
1776,2966
1777,4283
1778,1721
1779,6263
1780,4324
1781,5299
1782,1286
1783,4623
1784,5972
1785,2672
1786,3852
1787,4128
1788,3688
1789,2474
1790,2676
1791,1366
1792,2234
1793,7248
1794,3485
1795,2581
1796,1943
1797,5577
1798,1580
1799,2940
1800,2388
1801,2116
1802,404
1803,4516
1804,3931
1805,3028
1806,863
1807,2753
1808,4629
1809,759
1810,2591
1811,1338
1812,3798
1813,622
1814,2837
1815,3192
1816,926
1817,1808
1818,830
1819,2875
1820,2848
1821,1761
1822,4283
1823,1094
1824,2374
1825,3180
1826,2334
1827,3985
1828,1728
1829,3961
1830,3714
1831,6428
1832,3902
1833,3544
1834,1042
1835,730
1836,3444
1837,3018
1838,1776
1839,2045
1840,3422
1841,2926
1842,1794
1843,587
1844,2999
1845,4848
1846,2439
1847,4367
1848,2872
1849,1612
1850,509
1851,3247
1852,2003
1853,6924
1854,5577
1855,1543
1856,2294
1857,1987
1858,4073
1859,4421
1860,742
1861,151
1862,508
1863,2482
1864,3653
1865,992
1866,683
1867,3827
1868,3065
1869,2339
1870,4742
1871,560
1872,4920
1873,1456
1874,2758
1875,2815
1876,1639
1877,2175
1878,1148
1879,1456
1880,2936
1881,2405
1882,4791
1883,3688
1884,3676
1885,548
1886,2340
1887,3192
1888,1084
1889,1392
1890,835
1891,2199
1892,909
1893,627
1894,775
1895,1033
1896,2591
1897,2306
1898,1011
1899,4405
1900,3512
1901,2762
1902,4971
1903,9628
1904,1659
1905,2446
1906,3589
1907,3196
1908,5019
1909,2682
1910,603
1911,3328
1912,963
1913,2268
1914,1018
1915,2596
1916,1150
1917,1917
1918,4629
1919,3066
1920,2537
1921,2390
1922,2972
1923,1283
1924,1248
1925,2482
1926,2648
1927,3166
1928,2758
1929,926
1930,3130
1931,3071
1932,2762
1933,2866
1934,354
1935,1415
1936,7687
1937,3876
1938,2579
1939,3444
1940,1758
1941,1278
1942,632
1943,2682
1944,812
1945,1248
1946,4636
1947,918
1948,2344
1949,6444
1950,760
1951,2753
1952,1746
1953,3116
1954,2418
1955,3546
1956,347
1957,7248
1958,2753
1959,942
1960,1799
